trackID, chamberNb, energyDeposit(keV), Xpos, Ypos, Zpos
262, 6, 7.348e+01, 5.604e+00, 5.807e+00, -2.067e+01
262, 7, 7.555e+01, 6.003e+00, 6.812e+00, -2.291e+01
262, 8, 1.086e+02, 6.381e+00, 7.816e+00, -2.498e+01
262, 9, 8.066e+01, 6.736e+00, 8.823e+00, -2.690e+01
263, 0, 2.978e+01, -1.872e+00, -7.317e-01, -2.011e+00
263, 1, 3.387e+01, -2.852e+00, -9.936e-01, -2.606e+00
263, 2, 2.960e+01, -3.827e+00, -1.263e+00, -3.196e+00
263, 3, 3.184e+01, -4.799e+00, -1.539e+00, -3.783e+00
263, 4, 2.407e+01, -5.769e+00, -1.822e+00, -4.365e+00
263, 5, 4.589e+02, -6.737e+00, -2.112e+00, -4.941e+00
263, 6, 2.989e+01, -7.703e+00, -2.407e+00, -5.514e+00
263, 7, 4.625e+01, -8.667e+00, -2.708e+00, -6.080e+00
263, 8, 3.746e+01, -9.629e+00, -3.016e+00, -6.644e+00
263, 9, 3.753e+01, -1.059e+01, -3.329e+00, -7.205e+00
266, 0, 1.640e+02, -1.677e+00, -1.108e+00, -3.541e+00
266, 1, 1.768e+02, -2.116e+00, -2.155e+00, -8.851e+00
266, 2, 3.891e+03, -2.968e+00, -2.726e+00, -1.969e+01
266, 3, 1.362e+02, -4.719e+00, 1.769e+00, -3.997e+01
266, 4, 1.922e+02, -5.034e+00, 3.356e+00, -4.336e+01
266, 5, 6.873e+01, -5.281e+00, 4.686e+00, -4.582e+01
266, 6, 6.157e+01, -5.492e+00, 5.913e+00, -4.786e+01
266, 7, 7.686e+01, -5.687e+00, 7.078e+00, -4.964e+01
97 , 0, 4.174e+01, 1.599e+00, -1.218e+00, 2.141e+00
97 , 1, 3.044e+02, 2.412e+00, -1.817e+00, 3.243e+00
97 , 2, 3.006e+01, 3.234e+00, -2.405e+00, 4.362e+00
97 , 3, 4.713e+01, 4.064e+00, -2.980e+00, 5.498e+00
97 , 4, 3.365e+01, 4.902e+00, -3.545e+00, 6.652e+00
97 , 5, 4.262e+01, 5.749e+00, -4.098e+00, 7.826e+00
97 , 6, 1.458e+02, 6.602e+00, -4.642e+00, 9.020e+00
97 , 7, 5.533e+01, 7.463e+00, -5.172e+00, 1.023e+01
97 , 8, 4.567e+01, 8.333e+00, -5.689e+00, 1.146e+01
97 , 9, 4.257e+01, 9.211e+00, -6.194e+00, 1.271e+01
94 , 0, 5.347e+01, 1.035e+00, 1.723e+00, -2.602e+00
94 , 1, 3.199e+01, 1.544e+00, 2.595e+00, -3.867e+00
94 , 2, 5.726e+01, 2.047e+00, 3.471e+00, -5.107e+00
94 , 3, 6.980e+01, 2.543e+00, 4.351e+00, -6.320e+00
94 , 4, 4.501e+01, 3.033e+00, 5.235e+00, -7.508e+00
94 , 5, 4.284e+01, 3.518e+00, 6.121e+00, -8.671e+00
94 , 6, 3.512e+02, 3.996e+00, 7.011e+00, -9.810e+00
94 , 7, 4.747e+01, 4.468e+00, 7.905e+00, -1.093e+01
94 , 8, 4.401e+01, 4.936e+00, 8.800e+00, -1.202e+01
94 , 9, 3.590e+01, 5.399e+00, 9.699e+00, -1.310e+01
93 , 0, 6.711e+01, -1.869e+00, -7.389e-01, -4.717e-01
93 , 1, 1.144e+02, -2.804e+00, -1.121e+00, -6.630e-01
93 , 2, 6.269e+01, -3.739e+00, -1.503e+00, -8.252e-01
93 , 3, 8.623e+01, -4.670e+00, -1.896e+00, -9.677e-01
93 , 4, 7.288e+01, -5.598e+00, -2.294e+00, -1.081e+00
93 , 5, 5.893e+01, -6.524e+00, -2.699e+00, -1.173e+00
93 , 6, 7.384e+01, -7.447e+00, -3.110e+00, -1.242e+00
93 , 7, 9.488e+01, -8.369e+00, -3.521e+00, -1.281e+00
93 , 8, 6.918e+01, -9.292e+00, -3.932e+00, -1.296e+00
93 , 9, 6.435e+01, -1.021e+01, -4.356e+00, -1.290e+00
92 , 0, 3.538e+01, 1.472e-02, 2.010e+00, -1.143e+00
92 , 1, 2.904e+01, 2.216e-02, 3.020e+00, -1.699e+00
92 , 2, 4.124e+01, 2.984e-02, 4.030e+00, -2.242e+00
92 , 3, 2.689e+01, 3.803e-02, 5.040e+00, -2.774e+00
92 , 4, 3.125e+01, 4.616e-02, 6.050e+00, -3.293e+00
92 , 5, 3.784e+01, 5.413e-02, 7.060e+00, -3.800e+00
92 , 6, 2.184e+01, 6.194e-02, 8.070e+00, -4.295e+00
92 , 7, 2.412e+01, 6.943e-02, 9.080e+00, -4.778e+00
92 , 8, 2.527e+01, 7.725e-02, 1.009e+01, -5.249e+00
92 , 9, 3.140e+01, 8.533e-02, 1.110e+01, -5.709e+00
91 , 0, 4.373e+01, 1.767e+00, -9.589e-01, -2.187e+00
91 , 1, 4.882e+01, 2.668e+00, -1.415e+00, -3.316e+00
91 , 2, 7.845e+01, 3.579e+00, -1.852e+00, -4.463e+00
91 , 3, 3.885e+01, 4.501e+00, -2.268e+00, -5.628e+00
91 , 4, 3.670e+01, 5.431e+00, -2.665e+00, -6.827e+00
91 , 5, 6.041e+01, 6.371e+00, -3.041e+00, -8.048e+00
91 , 6, 7.016e+01, 7.321e+00, -3.394e+00, -9.292e+00
91 , 7, 4.351e+01, 8.281e+00, -3.724e+00, -1.056e+01
91 , 8, 4.652e+01, 9.250e+00, -4.031e+00, -1.185e+01
91 , 9, 5.083e+01, 1.023e+01, -4.317e+00, -1.315e+01
90 , 0, 2.395e+01, 1.385e-01, 2.005e+00, 1.109e-02
90 , 1, 2.451e+01, 2.092e-01, 3.013e+00, -7.922e-03
90 , 2, 2.397e+01, 2.807e-01, 4.020e+00, -4.353e-02
90 , 3, 2.756e+01, 3.532e-01, 5.028e+00, -9.757e-02
90 , 4, 2.934e+01, 4.257e-01, 6.035e+00, -1.675e-01
90 , 5, 2.408e+01, 4.994e-01, 7.042e+00, -2.551e-01
90 , 6, 3.381e+01, 5.732e-01, 8.050e+00, -3.588e-01
90 , 7, 2.793e+01, 6.489e-01, 9.057e+00, -4.787e-01
90 , 8, 4.847e+01, 7.262e-01, 1.006e+01, -6.148e-01
90 , 9, 3.405e+01, 8.023e-01, 1.107e+01, -7.693e-01
89 , 0, 4.698e+01, 4.040e-01, 1.969e+00, -2.619e+00
89 , 1, 4.892e+01, 6.083e-01, 2.958e+00, -3.946e+00
89 , 2, 4.724e+01, 8.133e-01, 3.947e+00, -5.280e+00
89 , 3, 4.637e+01, 1.019e+00, 4.936e+00, -6.621e+00
89 , 4, 4.428e+01, 1.226e+00, 5.925e+00, -7.970e+00
89 , 5, 7.275e+01, 1.433e+00, 6.913e+00, -9.326e+00
89 , 6, 4.541e+01, 1.641e+00, 7.901e+00, -1.069e+01
89 , 7, 5.657e+01, 1.850e+00, 8.890e+00, -1.206e+01
89 , 8, 4.920e+01, 2.060e+00, 9.878e+00, -1.344e+01
89 , 9, 4.353e+01, 2.271e+00, 1.087e+01, -1.483e+01
88 , 0, 4.881e+01, -2.001e+00, 1.895e-01, -2.822e+00
88 , 1, 4.477e+01, -3.010e+00, 2.441e-01, -4.247e+00
88 , 2, 4.476e+01, -4.021e+00, 2.739e-01, -5.671e+00
88 , 3, 3.971e+01, -5.032e+00, 2.796e-01, -7.098e+00
88 , 4, 4.165e+01, -6.044e+00, 2.582e-01, -8.533e+00
88 , 5, 8.665e+01, -7.057e+00, 2.116e-01, -9.969e+00
88 , 6, 6.367e+01, -8.069e+00, 1.373e-01, -1.141e+01
88 , 7, 4.798e+01, -9.080e+00, 3.003e-02, -1.284e+01
88 , 8, 5.280e+01, -1.009e+01, -1.049e-01, -1.427e+01
88 , 9, 4.131e+01, -1.110e+01, -2.651e-01, -1.569e+01
87 , 0, 1.633e+02, 1.486e+00, -1.354e+00, -9.303e+00
87 , 1, 1.935e+02, 2.300e+00, -1.957e+00, -1.443e+01
87 , 2, 1.415e+02, 3.169e+00, -2.490e+00, -1.991e+01
87 , 3, 1.928e+02, 4.100e+00, -2.931e+00, -2.579e+01
87 , 4, 2.045e+02, 5.096e+00, -3.260e+00, -3.210e+01
87 , 5, 2.197e+02, 6.165e+00, -3.441e+00, -3.885e+01
87 , 6, 2.324e+02, 7.300e+00, -3.440e+00, -4.601e+01
86 , 0, 5.910e+01, -6.986e-01, 1.885e+00, -2.201e+00
86 , 1, 2.128e+02, -1.067e+00, 2.825e+00, -3.411e+00
86 , 2, 4.759e+01, -1.449e+00, 3.761e+00, -4.701e+00
86 , 3, 4.515e+01, -1.851e+00, 4.688e+00, -6.075e+00
86 , 4, 5.268e+01, -2.271e+00, 5.608e+00, -7.547e+00
86 , 5, 5.836e+01, -2.712e+00, 6.518e+00, -9.142e+00
